Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Ron Harper Jr.;2.2;1.8;0.4;0.4;0.3;0.0;0.1;0.0
Montrezl Harrell;5.6;3.7;0.6;1.6;1.2;0.3;0.4;0.6
Gary Harris;8.3;6.4;1.2;1.6;0.4;0.9;0.3;0.6
Joe Harris;7.6;5.9;1.4;1.9;0.3;0.5;0.2;0.6
Kevon Harris;4.1;3.1;0.5;1.2;0.8;0.5;0.1;0.6
Tobias Harris;14.7;11.4;2.5;4.8;0.9;0.9;0.5;1.2
Shaquille Harrison;8.8;7.2;6.0;4.2;0.2;2.2;0.4;1.2
Josh Hart;9.8;6.8;3.8;5.9;1.9;1.2;0.3;1.5
Josh Hart;9.5;7.1;3.9;6.3;1.9;1.1;0.2;1.5
Josh Hart;10.2;6.3;3.6;5.2;1.9;1.4;0.5;1.5
Isaiah Hartenstein;5.0;4.0;1.2;4.0;2.5;0.6;0.8;0.8
Udonis Haslem;3.9;4.1;0.0;1.0;0.6;0.1;0.3;0.1
Sam Hauser;6.4;5.0;0.9;2.1;0.4;0.4;0.3;0.4
Jaxson Hayes;5.0;3.3;0.7;2.0;0.8;0.4;0.4;0.7
Killian Hayes;10.3;10.7;6.2;2.5;0.4;1.4;0.4;2.3
Gordon Hayward;14.7;11.6;4.1;3.6;0.7;0.8;0.2;2.0
Juancho HernangÃ_mez;2.9;2.7;0.6;2.3;0.6;0.4;0.1;0.4
Willy HernangÃ_mez;6.9;4.4;0.9;3.2;1.5;0.4;0.3;1.0
Tyler Herro;20.1;16.6;4.2;5.0;0.4;0.8;0.2;2.4
Buddy Hield;16.8;13.0;2.8;4.2;0.8;1.2;0.3;1.7
Haywood Highsmith;4.4;4.0;0.8;2.4;1.1;0.7;0.3;0.8
George Hill;5.0;3.6;2.4;1.5;0.3;0.6;0.1;0.7
George Hill;5.0;3.8;2.5;1.5;0.4;0.5;0.1;0.8
George Hill;5.2;3.1;1.9;1.5;0.2;0.6;0.3;0.6
Malcolm Hill;1.0;0.8;0.0;0.6;0.0;0.0;0.0;0.0
Aaron Holiday;3.9;3.5;1.4;0.8;0.4;0.6;0.2;0.6
Jrue Holiday;19.3;15.3;7.4;3.9;1.2;1.2;0.4;2.9
Justin Holiday;4.5;4.4;0.9;1.1;0.1;0.4;0.4;0.5
Justin Holiday;4.5;4.5;0.9;0.8;0.1;0.2;0.4;0.4
Justin Holiday;4.4;4.4;0.9;1.6;0.2;0.8;0.5;0.6
Richaun Holmes;3.1;2.1;0.2;1.2;0.7;0.1;0.3;0.3
Al Horford;9.8;7.6;3.0;5.0;1.2;0.5;1.0;0.6
Talen Horton-Tucker;10.7;9.4;3.8;2.6;0.6;0.6;0.4;1.9
Danuel House Jr.;4.8;3.5;0.8;1.5;0.2;0.3;0.2;0.5
Caleb Houstan;3.8;3.6;0.6;1.3;0.7;0.2;0.1;0.4
Trevor Hudgins;1.8;1.8;0.6;0.0;0.0;0.0;0.0;0.2
Kevin Huerter;15.2;11.5;2.9;2.8;0.6;1.1;0.3;1.3
Jay Huff;7.3;3.6;1.4;2.1;0.9;0.4;0.6;0.7
De'Andre Hunter;15.4;12.3;1.4;3.6;0.7;0.5;0.3;1.2
Bones Hyland;11.8;10.2;3.1;2.1;0.4;0.7;0.3;1.5
Bones Hyland;12.1;10.3;3.0;1.8;0.2;0.7;0.3;1.6
Bones Hyland;10.8;9.8;3.4;2.8;0.7;0.8;0.1;1.1
Serge Ibaka;4.1;3.4;0.3;1.8;0.9;0.1;0.4;0.7
Andre Iguodala;2.1;1.9;2.4;1.8;0.4;0.5;0.4;1.1
Joe Ingles;6.9;5.4;3.3;2.5;0.3;0.7;0.1;1.2
Brandon Ingram;24.7;18.6;5.8;5.0;0.5;0.7;0.4;3.3
Kyrie Irving;27.1;20.1;5.5;4.1;1.0;1.1;0.8;2.1
Kyrie Irving;27.1;20.5;5.3;4.2;1.0;1.0;0.8;2.3
Kyrie Irving;27.0;19.2;6.0;4.0;1.1;1.3;0.6;1.9
Jonathan Isaac;5.0;4.8;0.5;2.6;1.4;1.3;0.4;0.4
Jaden Ivey;16.3;13.3;5.2;2.9;1.0;0.8;0.2;3.2
Frank Jackson;0.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0
Isaiah Jackson;7.2;5.0;0.8;2.7;1.8;0.5;1.5;0.8
Jaren Jackson Jr.;18.6;13.0;1.0;5.0;1.7;1.0;3.0;1.7
Justin Jackson;0.9;1.2;0.4;0.7;0.1;0.2;0.2;0.1
Quenton Jackson;6.2;4.7;1.7;0.7;0.2;0.4;0.1;0.4
Reggie Jackson;10.2;9.4;3.4;1.8;0.4;0.7;0.1;1.7
Reggie Jackson;10.9;9.8;3.5;1.8;0.4;0.7;0.1;1.8
Reggie Jackson;7.9;8.0;3.1;1.6;0.2;0.6;0.1;1.2
LeBron James;28.9;22.2;6.8;7.1;1.2;0.9;0.6;3.2
Ty Jerome;6.9;5.4;3.0;1.6;0.2;0.5;0.1;0.7
Isaiah Joe;9.5;7.0;1.2;2.0;0.4;0.7;0.1;0.5
Alize Johnson;1.8;1.5;0.3;2.0;0.5;0.3;0.0;1.0
Cameron Johnson;15.5;11.3;1.9;3.6;0.8;1.2;0.3;0.9
Cameron Johnson;13.9;10.2;1.5;3.0;0.8;0.9;0.4;0.6
Cameron Johnson;16.6;12.0;2.1;4.0;0.8;1.4;0.3;1.1
Jalen Johnson;5.6;4.6;1.2;3.3;0.7;0.5;0.5;0.6
James Johnson;2.8;2.7;0.8;1.4;0.2;0.4;0.3;0.4
Keldon Johnson;22.0;17.7;2.9;4.2;0.9;0.7;0.2;2.1
Keon Johnson;4.7;4.5;1.5;0.8;0.3;0.5;0.2;1.1
Stanley Johnson;5.8;4.1;2.2;2.4;0.7;0.5;0.2;1.1
Nikola JokiÄá;24.5;14.8;9.8;9.4;2.4;1.3;0.7;3.6
Carlik Jones;2.9;2.1;0.9;0.6;0.1;0.3;0.0;0.3
Damian Jones;3.5;2.1;0.4;2.0;1.0;0.2;0.5;0.6
Damian Jones;2.5;1.7;0.2;1.7;0.8;0.1;0.5;0.4
Damian Jones;4.6;2.6;0.6;2.3;1.3;0.3;0.5;0.7
Derrick Jones Jr.;5.0;3.6;0.5;1.5;0.9;0.5;0.6;0.4
Herbert Jones;9.8;7.6;2.5;2.6;1.5;1.6;0.6;1.3
Kai Jones;3.4;2.6;0.3;1.9;0.8;0.4;0.7;0.7
Tre Jones;12.9;10.9;6.6;2.8;0.8;1.3;0.1;1.6
Tyus Jones;10.3;8.9;5.2;2.2;0.4;1.0;0.1;0.9
DeAndre Jordan;5.1;2.9;0.9;3.8;1.3;0.3;0.6;1.2
Cory Joseph;6.9;5.7;3.5;1.4;0.3;0.5;0.1;0.9
Nikola JoviÄá;5.5;4.6;0.7;1.5;0.6;0.5;0.1;0.7
Johnny Juzang;4.8;5.8;0.4;1.7;0.4;0.2;0.2;0.2
Mfiondu Kabengele;1.5;1.8;0.0;1.3;1.3;0.5;0.0;0.3
Frank Kaminsky;2.5;1.8;0.9;1.3;0.2;0.2;0.1;0.3
Frank Kaminsky;2.7;1.7;0.8;1.3;0.1;0.2;0.0;0.3
Frank Kaminsky;1.8;1.9;1.1;1.2;0.4;0.1;0.3;0.0
Trevor Keels;1.0;1.3;0.0;0.7;0.0;0.0;0.0;0.0
Luke Kennard;9.3;6.5;1.5;2.4;0.3;0.5;0.1;0.8
Luke Kennard;7.8;6.0;1.1;2.2;0.2;0.5;0.1;0.9
Luke Kennard;11.3;7.1;2.3;2.8;0.4;0.5;0.0;0.7
Walker Kessler;9.2;5.6;0.9;5.3;3.1;0.4;2.3;0.8
Braxton Key;1.3;0.3;0.0;0.3;0.0;0.0;0.0;0.0
Louis King;20.0;13.0;2.0;2.0;2.0;1.0;0.0;2.0
Corey Kispert;11.1;7.9;1.2;2.4;0.4;0.4;0.1;0.7
Maxi Kleber;5.9;4.6;1.4;2.8;0.8;0.3;0.8;0.7
Nathan Knight;3.7;2.1;0.3;0.9;0.6;0.3;0.2;0.6
Kevin Knox;6.6;5.3;0.5;2.3;0.5;0.4;0.2;0.8
Kevin Knox;5.6;4.3;0.4;2.1;0.5;0.3;0.3;0.8
Kevin Knox;8.5;7.3;0.9;2.6;0.7;0.5;0.0;0.9
Christian Koloko;3.1;2.6;0.5;1.5;1.4;0.4;1.0;0.3
John Konchar;5.1;4.4;1.4;3.4;0.9;1.1;0.3;0.5
Furkan Korkmaz;3.8;3.0;0.6;1.0;0.2;0.3;0.1;0.6
Luke Kornet;3.8;2.5;0.8;1.6;1.2;0.2;0.7;0.4
Vit Krejci;1.2;1.3;0.6;0.7;0.2;0.2;0.0;0.2
Jonathan Kuminga;9.9;7.4;1.9;2.4;1.0;0.6;0.5;1.4
Kyle Kuzma;21.2;17.8;3.7;6.4;0.9;0.6;0.5;3.0
Anthony Lamb;6.7;5.1;1.5;2.6;0.9;0.5;0.3;0.9
Jock Landale;6.6;4.9;1.0;2.3;1.7;0.2;0.4;0.9
Romeo Langford;6.9;6.0;1.2;1.3;1.3;0.6;0.3;0.7
Jake LaRavia;3.0;2.7;0.6;1.3;0.5;0.3;0.1;0.5
Zach LaVine;24.8;18.0;4.2;3.9;0.5;0.9;0.2;2.5
A.J. Lawson;3.7;2.9;0.1;1.0;0.4;0.1;0.0;0.2
A.J. Lawson;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
A.J. Lawson;3.9;3.1;0.1;1.0;0.4;0.1;0.0;0.2
Damion Lee;8.2;6.1;1.3;2.5;0.5;0.4;0.1;1.1
Saben Lee;6.0;4.8;2.7;1.3;0.5;0.8;0.0;1.0
Saben Lee;3.0;2.0;1.0;0.0;0.0;0.5;0.0;1.5
Saben Lee;6.3;5.1;2.8;1.4;0.6;0.8;0.0;0.9
Alex Len;1.7;1.2;0.5;1.4;0.9;0.2;0.4;0.6
Kawhi Leonard;23.8;16.8;3.9;5.4;1.1;1.4;0.5;1.7
Meyers Leonard;4.8;3.2;0.1;2.4;1.3;0.2;0.0;0.7
Caris LeVert;12.1;10.0;3.9;3.1;0.7;1.0;0.3;1.6
Kira Lewis Jr.;4.6;3.5;0.9;1.1;0.2;0.4;0.1;0.4
Damian Lillard;32.2;20.7;7.3;4.0;0.8;0.9;0.3;3.3
Nassir Little;6.6;5.6;0.9;2.1;0.5;0.4;0.4;0.7
Isaiah Livers;6.7;5.5;0.8;2.2;0.5;0.5;0.5;0.6
Kenneth Lofton Jr.;5.0;3.9;0.8;1.3;0.8;0.2;0.1;0.5
Kevon Looney;7.0;4.7;2.5;5.9;3.3;0.6;0.6;0.5
Brook Lopez;15.9;11.5;1.3;4.7;2.0;0.5;2.5;1.4
Robin Lopez;3.0;2.0;0.5;0.8;0.6;0.1;0.2;0.7
Kevin Love;8.2;6.8;1.9;5.5;1.0;0.3;0.2;1.1
Kevin Love;8.5;7.0;1.9;5.8;1.0;0.2;0.2;1.1
Kevin Love;7.7;6.6;1.9;4.9;0.8;0.4;0.2;1.1
Kyle Lowry;11.2;8.8;5.1;3.3;0.8;1.0;0.4;1.9
Trey Lyles;7.6;5.5;0.9;3.1;0.9;0.4;0.4;0.9
ThÃ©o Maledon;6.7;5.8;3.5;2.5;0.3;0.8;0.3;1.3
Sandro Mamukelashvili;6.1;5.3;1.4;2.7;1.6;0.3;0.3;0.8
Sandro Mamukelashvili;2.4;2.4;0.7;1.6;0.8;0.2;0.2;0.4
Sandro Mamukelashvili;10.8;9.1;2.4;4.1;2.7;0.5;0.4;1.4
Terance Mann;8.8;6.5;2.3;2.5;1.0;0.5;0.3;1.0
Tre Mann;7.7;7.5;1.8;1.9;0.4;0.6;0.2;0.9
Boban MarjanoviÄá;3.3;1.9;0.3;1.3;0.6;0.2;0.1;0.5
Lauri Markkanen;25.6;17.3;1.9;6.7;2.0;0.6;0.6;1.9
Naji Marshall;9.1;7.4;2.5;3.0;0.6;0.7;0.2;1.3
Caleb Martin;9.6;7.7;1.6;3.6;1.2;1.0;0.4;1.1
Cody Martin;5.0;5.1;1.6;2.3;1.1;0.6;0.1;0.3
KJ Martin;12.7;8.8;1.5;4.0;1.5;0.5;0.4;1.1
Tyrese Martin;1.3;1.4;0.1;0.4;0.3;0.1;0.0;0.1
Garrison Mathews;4.8;3.7;0.5;1.1;0.2;0.4;0.1;0.4
Garrison Mathews;4.8;3.8;0.5;1.2;0.2;0.5;0.1;0.4
Garrison Mathews;4.8;3.4;0.3;1.1;0.1;0.1;0.1;0.1
Bennedict Mathurin;16.7;12.2;1.5;3.0;1.1;0.6;0.2;1.9
Wesley Matthews;3.4;3.1;0.7;1.5;0.7;0.4;0.3;0.3
Tyrese Maxey;20.3;15.2;3.5;2.6;0.4;0.8;0.1;1.3
Skylar Mays;15.3;11.3;8.3;2.8;0.3;1.0;0.2;1.7
Miles McBride;3.5;3.4;1.1;0.6;0.2;0.6;0.1;0.4
Mac McClung;12.5;10.0;4.5;3.5;1.5;0.0;0.0;1.5
CJ McCollum;20.9;17.9;5.7;3.6;0.7;0.9;0.5;2.4
T.J. McConnell;8.7;6.9;5.3;2.5;0.6;1.1;0.1;1.9
Jaden McDaniels;12.1;9.1;1.9;2.7;1.2;0.9;1.0;1.4
Jalen McDaniels;9.4;7.7;1.6;3.5;0.8;1.0;0.4;1.2
Jalen McDaniels;10.6;8.8;2.0;4.0;0.8;1.2;0.5;1.4
Jalen McDaniels;6.7;5.1;0.8;2.4;0.8;0.7;0.2;0.5
Doug McDermott;10.2;8.2;1.4;1.8;0.4;0.2;0.1;0.9
JaVale McGee;4.4;3.0;0.3;1.8;0.7;0.1;0.6;0.9
Bryce McGowens;5.3;4.4;1.2;1.6;0.4;0.3;0.1;0.9
Rodney McGruder;5.7;4.8;0.9;1.7;0.6;0.5;0.0;0.3
Jordan McLaughlin;3.7;3.4;3.4;1.1;0.3;0.7;0.1;0.8
De'Anthony Melton;10.1;8.5;2.6;3.2;0.9;1.6;0.5;1.3
Sam Merrill;5.0;4.4;1.0;1.8;0.0;0.8;0.0;0.0
Chimezie Metu;4.9;3.3;0.6;2.3;0.7;0.3;0.3;0.5
Khris Middleton;15.1;12.3;4.9;3.4;0.8;0.7;0.2;2.2
Patty Mills;6.2;5.2;1.4;0.9;0.2;0.4;0.1;0.8
Shake Milton;8.4;6.6;3.2;2.0;0.5;0.3;0.2;1.2
Justin Minaya;4.3;5.8;1.0;3.0;0.8;0.5;1.3;1.0
Josh Minott;3.1;2.4;0.3;1.3;0.3;0.3;0.4;0.2
Davion Mitchell;5.6;5.0;2.3;1.1;0.2;0.6;0.2;0.8
Donovan Mitchell;28.3;20.6;4.4;3.3;0.9;1.5;0.4;2.6
Evan Mobley;16.2;12.0;2.8;6.6;2.4;0.8;1.5;1.8
Isaiah Mobley;2.6;2.3;0.3;1.3;0.3;0.3;0.3;0.1
Chima Moneke;1.0;1.0;0.5;0.0;1.0;0.0;0.0;1.0
Malik Monk;13.5;10.3;3.9;2.2;0.4;0.6;0.3;1.9
Moses Moody;4.8;3.6;0.8;1.2;0.4;0.3;0.1;0.5
Xavier Moon;1.8;2.3;1.3;0.8;0.0;0.0;0.0;0.3
Wendell Moore Jr.;1.4;1.5;0.6;0.5;0.1;0.3;0.2;0.3
Ja Morant;26.2;19.9;8.1;4.9;1.0;1.1;0.3;3.4
Marcus Morris;11.2;9.9;1.8;3.5;0.4;0.6;0.3;0.9
Markieff Morris;3.8;3.3;0.9;1.7;0.4;0.3;0.1;0.5
Markieff Morris;3.6;3.0;0.9;1.7;0.5;0.3;0.2;0.5
Markieff Morris;4.5;4.1;0.8;1.5;0.0;0.1;0.0;0.5
Monte Morris;10.3;8.3;5.3;3.0;0.4;0.7;0.2;1.0
Trey Murphy III;14.5;10.1;1.4;2.8;0.7;1.1;0.5;0.8
Dejounte Murray;20.5;17.8;6.1;4.5;0.7;1.5;0.3;2.2
Jamal Murray;20.0;16.0;6.2;3.2;0.7;1.0;0.2;2.2
Keegan Murray;12.2;9.8;1.2;3.5;1.1;0.8;0.5;0.8
Mike Muscala;6.1;4.6;0.8;2.6;0.6;0.2;0.4;0.4
Mike Muscala;6.2;4.7;0.9;2.6;0.5;0.3;0.4;0.3
Mike Muscala;5.9;4.5;0.6;2.7;0.7;0.2;0.3;0.5
Svi Mykhailiuk;6.9;5.4;1.7;1.2;0.5;0.5;0.1;0.8
Svi Mykhailiuk;1.6;0.9;0.1;0.5;0.0;0.1;0.0;0.2
Svi Mykhailiuk;10.6;8.5;2.7;1.6;0.8;0.7;0.2;1.2
Larry Nance Jr.;6.8;4.7;1.8;3.8;1.6;0.9;0.6;0.6
Andrew Nembhard;9.5;8.6;4.5;2.2;0.5;0.9;0.2;1.7
Aaron Nesmith;10.1;8.1;1.3;2.9;0.8;0.8;0.5;1.0
Raul Neto;3.3;2.3;1.6;0.8;0.2;0.4;0.1;0.5
Georges Niang;8.2;6.4;1.0;2.1;0.2;0.4;0.2;0.7
Daishen Nix;4.0;4.2;2.3;1.4;0.3;0.5;0.1;1.5
Zeke Nnaji;5.2;3.7;0.3;1.4;1.2;0.3;0.4;0.6
Nerlens Noel;2.1;2.1;0.6;2.1;0.6;0.9;0.6;0.8
Nerlens Noel;2.3;2.1;0.5;2.1;0.5;0.9;0.6;0.6
Nerlens Noel;1.0;2.0;1.0;2.0;1.0;1.0;0.3;1.7
Jaylen Nowell;10.8;9.6;2.0;2.1;0.6;0.6;0.1;1.0
Frank Ntilikina;2.9;2.8;1.2;1.2;0.1;0.3;0.1;0.6
Kendrick Nunn;7.1;6.4;1.3;1.3;0.2;0.4;0.1;0.9
Kendrick Nunn;6.7;6.4;0.9;1.3;0.1;0.3;0.1;0.8
Kendrick Nunn;7.5;6.4;1.8;1.4;0.3;0.5;0.1;1.1
Jusuf NurkiÄá;13.3;9.7;2.9;6.9;2.2;0.8;0.8;2.3
Jordan Nwora;8.7;7.2;1.4;2.9;0.8;0.4;0.2;1.1
Jordan Nwora;6.0;5.2;1.0;2.3;0.8;0.3;0.2;0.9
Jordan Nwora;13.0;10.3;2.1;3.8;0.9;0.5;0.3;1.3
Royce O'Neale;8.8;7.8;3.7;4.3;0.7;0.9;0.6;1.5
Chuma Okeke;4.7;4.5;1.4;2.6;1.0;0.7;0.4;0.6
Josh Okogie;7.3;5.8;1.5;2.0;1.5;0.8;0.5;0.9
Onyeka Okongwu;9.9;6.2;1.0;4.5;2.7;0.7;1.3;1.0
Isaac Okoro;6.4;4.7;1.1;1.8;0.7;0.7;0.4;0.6
KZ Okpala;1.3;1.1;0.4;0.8;0.2;0.2;0.2;0.2
Victor Oladipo;10.7;9.6;3.5;2.7;0.4;1.4;0.3;2.1
Kelly Olynyk;12.5;8.2;3.7;5.0;1.2;0.9;0.5;2.5
Eugene Omoruyi;7.0;5.7;0.7;1.7;1.1;0.7;0.1;0.9
Eugene Omoruyi;4.9;4.1;0.5;1.3;1.0;0.6;0.0;0.7
Eugene Omoruyi;9.7;7.9;1.0;2.2;1.2;0.8;0.2;1.1
Cedi Osman;8.7;6.9;1.5;2.0;0.3;0.5;0.1;0.7
Kelly Oubre Jr.;20.3;17.1;1.1;3.8;1.4;1.4;0.4;1.3
Chris Paul;13.9;11.3;8.9;3.8;0.5;1.5;0.4;1.9
Cameron Payne;10.3;9.4;4.5;2.0;0.3;0.7;0.2;1.7
Gary Payton II;4.6;3.1;1.4;2.0;1.1;1.0;0.2;0.7
Gary Payton II;4.1;2.7;1.5;1.9;0.7;1.1;0.1;0.8
Gary Payton II;5.7;4.0;1.1;2.3;2.0;0.9;0.6;0.6
Theo Pinson;2.4;2.2;1.2;1.3;0.3;0.2;0.0;0.3
Scotty Pippen Jr.;2.3;2.0;0.3;0.3;0.3;0.3;0.2;0.3
Mason Plumlee;10.8;6.1;3.1;6.0;2.9;0.6;0.6;1.5
Mason Plumlee;12.2;7.1;3.7;6.3;3.3;0.6;0.6;1.6
Mason Plumlee;7.5;3.8;1.7;5.1;1.8;0.5;0.5;1.3
Jakob Poeltl;12.5;8.6;2.7;5.8;3.3;0.9;1.2;1.7
Jakob Poeltl;12.1;8.4;3.1;5.7;3.3;0.8;1.1;2.1
Jakob Poeltl;13.1;8.8;2.2;5.9;3.2;1.2;1.3;1.1
Aleksej Pokusevski;8.1;7.3;1.9;3.4;1.3;0.6;1.3;1.3
Jordan Poole;20.4;15.6;4.5;2.4;0.4;0.8;0.3;3.1
Kevin Porter Jr.;19.2;15.0;5.7;4.0;1.3;1.4;0.3;3.2
Michael Porter Jr.;17.4;13.2;1.0;4.5;1.0;0.6;0.5;1.1